Number,Station name,Latitude,Longitud
8018,BUNTINE EAST,-29.933,116.770
8019,BUNYA BUNYA,-28.438,115.178
8020,SHELLEYVALE,-28.982,116.168
8021,SUNNYDALE,-30.043,116.698
8022,BALGERBINE,-30.291,116.331
8023,CANNA 1,-28.900,115.850
8025,CARNAMAH,-29.688,115.886
8026,CARON,-29.583,116.317
8028,NABAWA,-28.501,114.790
8032,BALMAHA,-29.098,116.150
8033,CLONTARF FARM,-28.703,115.817
8034,COOARRA,-30.300,116.800
8036,COOMBERDALE,-30.464,116.037
8039,DALWALLINU COMPARISON,-30.277,116.662
8041,DARTMOOR,-27.977,115.210
8042,YAMMA,-28.090,115.145
8044,DONGARA,-29.253,114.931
8045,DURAWAH,-28.550,114.900
8047,FAIRFIELD,-29.471,115.853
8048,KARINGA,-29.300,116.200
8050,GERALDTON TOWN,-28.777,114.605
8051,GERALDTON AIRPORT COMPARISON,-28.795,114.698
8052,GLENEVA,-28.170,114.761
8059,HILLRIVER FARM,-28.700,114.700
8061,HYDE PARK,-30.284,116.633
8064,INDARRIE,-30.672,116.308
8065,ISSEKA,-28.429,114.654
8066,KOKARDINE,-30.701,117.061
8067,KOOBABBIE,-29.941,116.200
8070,LAKE HINDS,-30.782,116.506
8071,LAKE NINAN,-30.950,116.650
8072,LATHAM,-29.758,116.445
8073,LATHAM EAST,-29.815,116.585
8078,MALLEE VALE,-29.242,115.779
8079,MANARRA,-29.071,115.626
8080,MAYA,-29.866,116.525
8084,MANAVI,-30.261,116.210
8086,STRAWBERRY NORTH,-29.151,115.243
8087,MINDALLA,-30.423,116.458
8091,MOORA,-30.642,116.007
8092,MORAWA WEST,-29.191,115.881
8093,MORAWA,-29.210,116.009
8095,MULLEWA,-28.537,115.514
8097,NARALING,-28.447,114.945
8098,NANGETTY,-29.001,115.399
8099,NARRA TARRA,-28.693,114.732
8100,NORTHAMPTON,-28.362,114.633
8102,KONDUT EAST,-30.675,116.939
8103,OAKABELLA,-28.500,114.600
8106,PERANGERY,-29.369,116.406
8108,PIAWANING,-30.839,116.386
8109,PINDAR,-28.477,115.790
8111,PITHARA,-30.388,116.665
8116,SANDSPRINGS,-28.789,114.942
8117,SHADY GROVE,-29.284,115.190
8118,SUNDERLAND,-28.323,114.945
8119,TALLERING,-28.377,115.851
8120,TENINDEWA,-28.621,115.364
8122,TOOTRA,-30.600,116.400
8124,TARDUN,-28.793,115.734
8125,URELLA,-29.052,115.400
8126,MINARU,-29.850,116.229
8128,TENINDEWA BINDU,-28.554,115.246
8130,WATHEROO,-30.299,116.059
8132,WATHEROO MAGNETIC OBS.,-30.317,115.883
8134,WHITE PEAK,-28.648,114.624
8135,WICKA,-28.700,114.900
8137,WONGAN HILLS,-30.892,116.719
8138,WONGAN HILLS RES.STATION,-30.841,116.727
8142,YAMMA POOL,-29.191,115.787
8143,YANDANOOKA,-29.287,115.633
8144,YARRAGADEE,-29.076,115.409
8145,YARRALLA,-29.721,116.495
8147,YUNA,-28.325,114.959
8148,BOOKARA,-29.000,114.900
8151,WALEBING,-30.665,116.138
8157,CANNA,-28.898,115.863
8159,MAYSBORO,-30.990,116.355
8168,HOWATHARRA,-28.545,114.624
8170,BRAESIDE 1,-28.500,115.650
8178,YONGARLOO,-29.186,115.741
8179,EAST KONDUT,-30.658,116.934
8181,ENEABBA POST OFFICE OLD SITE,-29.800,115.350
8200,ERADU,-28.694,115.041
8215,NARDY,-30.485,116.266
8225,ENEABBA,-29.818,115.272
8230,ELENA,-30.382,116.722
8232,CLYDE PARK,-30.332,116.713
8238,HAKEA,-30.099,116.234
8240,COOLANGATTA,-28.910,115.512
8249,PERENJORI AMBULANCE,-29.450,116.267
8251,KALBARRI,-27.712,114.165
8258,WALKAWAY,-28.942,114.801
8261,MINDARRA,-29.064,115.175
8264,WANARRA,-29.515,116.801
8267,NOKANENA,-28.352,114.578
8268,BALLA NORTH,-27.970,114.969
8273,ARENA,-29.359,115.450
8279,YGOOLA,-30.669,117.210
8288,GHURKA,-28.258,114.603
8294,WANDANA,-28.209,115.285
8296,MORAWA AIRPORT,-29.204,116.025
8297,DALWALLINU,-30.276,116.671
9000,ARALUEN,-32.125,116.103
9001,ARMADALE,-32.130,116.005
9002,ALLAMBIE,-31.250,115.730
9006,CHELSEA,-30.626,115.780
9010,CHURCHMAN BROOK,-32.148,116.076
9013,COWALLA,-31.050,115.567
9014,DANDARAGAN WEST,-30.697,115.582
9015,KARRAGULLEN NORTH,-32.089,116.126
9017,FREMANTLE,-32.055,115.750
9021,PERTH AIRPORT,-31.927,115.976
9023,JARRAHDALE,-32.334,116.076
9024,MARBLING,-31.561,116.084
9025,MIDLAND,-31.869,116.017
9026,MIMIGARRA,-30.853,115.446
9028,MOOLIABEENEE SIDING,-31.300,116.017
9029,MUCHEA TREE FARM,-31.582,115.966
9030,MUNDARING,-31.898,116.158
9031,MUNDARING WEIR,-31.956,116.164
9033,NEW NORCIA,-30.971,116.218
9034,PERTH REGIONAL OFFICE,-31.956,115.870
9035,NEDLANDS UWA,-31.986,115.819
9036,ROCKINGHAM POST OFFICE,-32.284,115.755
9037,BADGINGARRA RESEARCH STN,-30.338,115.539
9038,ROTTNEST ISLAND LIGHTHOUSE,-32.009,115.502
9040,WANNAMAL,-31.143,116.054
9041,WANNERIE,-31.167,115.550
9044,WUNGONG DAM,-32.198,116.062
9045,YANCHEP,-31.557,115.673
9046,YATHROO,-30.774,115.698
9050,CANNING RIVER WEIR,-32.157,116.126
9053,PEARCE RAAF,-31.667,116.019
9054,TAMBREY,-30.603,115.643
9055,DANDARAGAN,-30.683,115.700
9056,FLOREAT PARK,-31.949,115.793
9058,KALAMUNDA,-31.982,116.059
9063,BADGINGARRA,-30.390,115.504
9064,KWINANA BP REFINERY,-32.226,115.761
9066,GIDGEGANNUP,-31.791,116.198
9067,UPPER SWAN RESEARCH STATION,-31.756,116.022
9096,MOUNT VICTORIA,-32.033,116.050
9097,PERTH GARDENS,-31.950,115.850
9102,SUBIACO,-31.900,115.800
9105,WANNEROO,-31.732,115.793
9109,STONEVILLE RESEARCH STN,-31.853,116.178
9111,KARNET,-32.439,116.079
9114,LANCELIN,-31.016,115.332
9115,SERPENTINE MAIN DAM,-32.402,116.104
9120,WANNEROO CALM,-31.751,115.801
9127,MOSMAN PARK,-32.020,115.769
9130,TUYALI,-30.641,115.500
9131,JURIEN BAY,-30.308,115.031
9133,LAKE LESCHENAULTIA,-31.851,116.254
9135,WALLISTON,-31.994,116.069
9137,CARDUP,-32.248,116.017
9144,BARAMBA,-31.077,115.508
9151,SUBIACO TREATMENT PLANT,-31.956,115.793
9152,MAHOMET SPRINGS,-30.500,115.712
9163,WEST SWAN,-31.851,115.994
9166,WHITBY FALLS,-32.293,116.014
9167,MOGUMBER FARM,-31.005,115.937
9168,KARRAGULLEN,-32.119,116.120
9172,JANDAKOT AERO,-32.101,115.879
9177,SAN ANGELO,-31.122,115.446
9178,GINGIN AERO,-31.463,115.864
9192,FREMANTLE,-32.053,115.765
9193,ROTTNEST ISLAND,-32.007,115.502
9194,MEDINA RESEARCH CENTRE,-32.221,115.808
9197,GARDEN ISLAND,-32.230,115.684
9209,SPRINGDALE,-32.433,116.029
9210,LAKE NAMMEN,-30.893,115.579
9215,SWANBOURNE,-31.956,115.762
9216,VICTORIA DAM,-32.039,116.066
9256,GARDEN ISLAND HSF,-32.243,115.684
9500,ALBANY,-35.029,117.881
9501,ARUNDEL,-34.474,117.480
9503,BOYANUP,-33.483,115.729
9505,BALINGUP,-33.786,115.982
9506,BANGALUP,-34.468,116.917
9507,BANNISTER,-32.684,116.519
9508,BIDDELIA,-34.250,115.750
9510,BRIDGETOWN COMPARISON,-33.958,116.138
9516,CAPEL,-33.551,115.572
9517,CASTLEDENE,-33.718,115.850
9518,CAPE LEEUWIN,-34.373,115.136
9519,CAPE NATURALISTE,-33.537,115.019
9520,CAPE RICHE,-34.609,118.751
9521,CARMENDALE,-34.735,117.722
9522,YALLINGUP,-33.633,115.000
9523,ILLALANGI,-34.973,117.267
9525,CULICUP ESTATE,-33.874,116.654
9527,DARDANUP EAST,-33.397,115.783
9528,DARRADUP,-34.083,115.583
9531,DENMARK,-34.962,117.357
9537,QUINDALUP,-33.600,115.100
9540,MARGARET RIVER 1,-33.983,115.017
9541,ESPERANCE POST OFFICE,-33.850,121.883
9542,ESPERANCE AERO,-33.682,121.828
9544,FANNY COVE,-33.833,121.167
9546,FERNDALE,-33.817,115.933
9550,GLEN WARREN,-34.419,116.209
9551,GRASSMERE,-35.015,117.758
9553,HAMEL,-32.868,115.914
9554,HARVEY POST OFFICE,-33.080,115.892
9556,ALDERVALE,-33.978,116.334
9558,IAWAKIA,-34.692,117.235
9559,KALGAN RIVER,-34.910,117.994
9560,KARRIDALE,-34.200,115.100
9563,WATTLEGROVE,-34.800,117.017
9565,KOJANEERUP,-34.532,118.278
9568,LAKE MUIR,-34.517,116.617
9572,HALLS HEAD,-32.538,115.700
9573,MANJIMUP,-34.251,116.145
9574,MARGARET RIVER,-33.958,115.064
9575,MARRADONG,-32.856,116.450
9577,STRATHALBYN,-34.616,116.024
9579,OAKE MARSH FARM,-33.763,122.067
9581,MOUNT BARKER,-34.625,117.636
9582,MANYPEAKS,-34.839,118.170
9585,NANNUP,-33.980,115.766
9589,NORNALUP,-34.992,116.821
9591,PARDELUP,-34.628,117.385
9596,PINJARRA,-32.627,115.875
9597,QUINDALUP,-33.683,115.150
9598,RADYR PARK,-33.050,115.900
9599,BARRETT MEADOWS,-34.980,117.632
9600,ROSA BROOK,-33.963,115.183
9601,ROELANDS VILLAGE,-33.321,115.882
9603,BUSSELTON AERO,-33.682,115.403
9611,WALPOLE,-34.976,116.733
9612,WALPOLE NORTH OLD,-34.851,116.709
9613,WARNER GLEN,-34.144,115.226
9614,WAROONA,-32.856,115.893
9615,WARRIUP,-34.715,118.469
9619,WILGARRUP,-34.152,116.204
9624,YARLOOP,-32.959,115.901
9625,YELLANUP,-34.727,117.922
9626,PLEASANT VALLEY,-33.711,121.562
9629,MARRIWOOD,-33.446,115.731
9631,ESPERANCE DOWNS RESEARCH STN,-33.603,121.783
9633,TAMAR,-34.864,118.112
9634,PARKFIELD,-33.206,115.715
9635,FRANKLAND,-34.363,117.084
9636,COWARAMUP,-33.836,115.075
9637,DENMARK RES.STN.,-34.951,117.370
9640,COOEEARUP,-33.950,116.050
9642,WOKALUP,-33.133,115.879
9647,WEREROA,-34.951,117.277
9654,BREMER BAY,-34.399,119.378
9657,ROELANDS,-33.295,115.771
9666,MCALINDEN,-33.596,116.335
9668,KURANDA,-33.674,116.647
9671,WILGA,-33.688,116.215
9679,LAKE PRESTON LODGE 2 COMP.,-32.994,115.727
9715,THOMAS RIVER,-33.803,123.033
9738,MUJA POWER STATION,-33.453,116.302
9739,TELINA DOWNS,-33.679,122.331
9741,ALBANY AIRPORT COMPARISON,-34.941,117.802
9749,FAIRBRIDGE,-32.604,115.946
9752,DENBARKER,-34.745,117.340
9764,BEDFORD HARBOUR 1,-33.750,120.600
9768,TARIPTA,-34.361,117.619
9771,YOONGARILLUP,-33.741,115.470
9772,ERINAIR,-33.761,121.216
9788,BOYATUP,-33.814,122.294
9789,ESPERANCE,-33.830,121.892
9794,BEDFORD HARBOUR,-33.804,120.638
9801,ALEXANDRA BRIDGE,-34.160,115.189
9802,THE OAKS,-33.663,121.631
9803,CHAPMAN HILL,-33.783,115.345
9804,ADINA,-33.881,122.217
9805,WALPOLE FORESTRY,-34.977,116.729
9812,HARVEY,-33.079,115.881
9816,LORT RIVER STATION,-33.726,121.301
9822,DALYUP PARK,-33.775,121.555
9827,SECOND BEACH,-33.882,121.860
9829,TALLANGATTA,-33.891,120.326
9835,WAYJO PARK,-34.403,118.969
9842,JARRAHWOOD,-33.796,115.666
9843,FRANKLAND VINEYARDS,-34.442,116.994
9854,AV-A-REST,-33.802,116.600
9858,SYLVAN LOCH,-33.650,116.567
9859,HILLMAN,-33.306,116.803
9862,CAPERCUP,-33.508,116.739
9867,LORINNA,-33.651,122.016
9871,WINDY HARBOUR,-34.837,116.026
9875,MOUNT BARKER NORTH,-34.570,117.623
9885,BUNBURY POWER STATION,-33.316,115.660
9887,MANDURAH,-32.521,115.750
9904,WALTERS FARM,-34.597,116.107
9907,YANMAH,-34.213,116.023
9908,ONE TREE BRIDGE (HAZELMERE),-34.229,115.929
9909,ASTON DOWNS,-33.791,115.319
9912,FERGUSON VALLEY,-33.445,115.851
9914,VALERN,-33.355,116.675
9915,HILLVIEW FARM,-32.998,115.921
9930,TAMARU,-34.880,118.051
9968,SHANNON,-34.568,116.337
9970,LOUGHREA,-33.806,120.913
9975,BUNDALEER,-34.703,118.299
9977,MANDURAH,-32.522,115.712
9994,COLLIE EAST,-33.361,116.172
10000,AMERY ACRES,-31.168,117.074
10001,BAANDEE,-31.600,117.967
10002,BAANDEE NORTH,-31.367,117.903
10003,BALKULING,-31.983,117.100
10004,BEACON,-30.449,117.865
10006,BELKA,-31.727,118.110
10009,BOLGART,-31.274,116.509
10012,BOODJERAKINE,-31.526,117.406
10014,BRADFORDALE,-30.606,117.567
10017,BUNGULLA NORTH,-31.555,117.586
10018,BURAKIN,-30.532,117.174
10019,BURRACOPPIN,-31.396,118.481
10020,WANOBBING,-31.917,116.967
10022,CARDONIA,-31.500,117.802
10023,WARRADONG FARM,-31.500,116.941
10024,CASUARINA VALE,-31.163,116.858
10026,GOODLANDS,-30.061,117.142
10027,EADINE,-31.717,116.517
10030,WATTONING,-30.777,118.199
10038,DANDANNING,-31.006,118.198
10039,DOODARDING WELL,-31.007,117.204
10040,DOODLAKINE,-31.609,117.877
10041,DOONGIN PEAK,-31.619,117.437
10044,BUNGULLA,-31.623,117.543
10045,EJANDING,-31.011,117.134
10046,ELLABIN,-31.200,118.100
10047,GUM PARK,-31.047,118.151
10052,ALEPPO,-31.445,117.222
10053,FRIARS WELL,-31.723,118.437
10054,MOUNT PLEASANT FARM,-30.900,117.800
