Date,Day,Date2,T.Max,Smx,T.Min,Smn,Rain,Srn,Evap,Sev,Radn,Ssl,VP,Svp,RHmaxT,RHminT,FAO56,Mlake,Mpot,Mact,Mwet,Span,Ssp,EvSp,Ses,MSLPres,Sp
20250523,143,23-05-2025,30.9,25,14.6,25,0.0,25,5.9,25,19.9,42,12.5,25,28.0,75.3,4.8,4.5,8.1,0.9,4.5,6.1,26,5.9,25,1013.0,25
20250524,144,24-05-2025,34.5,25,16.6,25,0.0,25,5.2,25,20.2,42,15.6,25,28.5,82.6,5.2,5.0,8.6,1.4,5.0,6.5,26,5.2,25,1012.7,25
20250525,145,25-05-2025,35.8,25,21.2,25,0.0,25,4.2,25,18.4,42,26.5,25,45.1,100.0,4.7,5.3,7.0,3.6,5.3,5.9,26,4.2,25,1012.8,25
20250526,146,26-05-2025,35.5,25,23.7,25,0.0,25,5.1,25,18.2,42,27.6,25,47.7,94.2,4.7,5.5,7.3,3.6,5.4,5.8,26,5.1,25,1013.1,25
20250527,147,27-05-2025,34.2,25,23.0,25,0.0,25,5.0,25,15.8,42,26.5,25,49.3,94.4,4.2,4.7,6.5,2.8,4.7,5.5,26,5.0,25,1012.7,25
20250528,148,28-05-2025,29.0,25,19.9,25,141.8,25,3.3,25,16.5,42,22.5,25,56.2,96.9,3.6,4.2,5.3,3.1,4.2,5.0,26,3.3,25,1015.9,25
20250529,149,29-05-2025,27.7,25,20.0,25,0.2,25,5.7,25,14.0,42,17.4,25,46.9,74.5,3.7,3.5,6.0,0.9,3.5,5.0,26,5.7,25,1016.7,25
20250530,150,30-05-2025,28.3,25,18.3,25,0.0,25,5.0,25,19.9,42,16.4,25,42.6,78.0,4.3,4.7,7.1,2.3,4.7,5.6,26,5.0,25,1017.9,25
20250531,151,31-05-2025,28.9,25,15.7,25,0.0,25,4.6,25,19.9,42,14.6,25,36.7,81.9,4.3,4.6,7.2,1.9,4.5,5.7,26,4.6,25,1018.2,25
20250601,152,1-06-2025,30.0,25,15.0,25,0.0,25,3.7,25,19.9,42,13.9,25,32.8,81.6,4.5,4.6,7.5,1.6,4.5,6.0,26,3.7,25,1016.8,25
20250602,153,2-06-2025,30.5,25,14.5,25,0.0,25,5.8,25,19.8,42,14.1,25,32.3,85.4,4.5,4.5,7.4,1.6,4.5,6.0,26,5.8,25,1015.1,25
20250603,154,3-06-2025,32.7,25,14.8,25,0.0,25,5.0,25,19.7,42,13.5,25,27.3,80.2,4.9,4.6,8.2,1.0,4.6,6.4,26,5.0,25,1014.7,25
20250604,155,4-06-2025,31.3,25,16.3,25,0.0,25,5.3,25,19.3,42,14.7,25,32.2,79.4,4.6,4.5,7.7,1.3,4.5,6.1,26,5.3,25,1015.4,25
20250605,156,5-06-2025,30.7,25,14.7,25,0.0,25,4.2,25,19.6,42,15.8,25,35.8,94.5,4.4,4.6,6.9,2.1,4.5,5.9,26,4.2,25,1016.1,25
20250606,157,6-06-2025,31.4,25,15.5,25,0.0,25,5.0,25,19.6,42,15.4,25,33.5,87.5,4.6,4.6,7.4,1.8,4.6,6.0,26,5.0,25,1015.6,25
20250607,158,7-06-2025,31.4,25,15.1,25,0.0,25,6.1,25,19.7,42,19.4,25,42.2,100.0,4.2,4.8,6.2,3.3,4.8,5.7,26,6.1,25,1015.9,25
20250608,159,8-06-2025,29.1,25,15.3,25,0.0,25,5.8,25,19.6,42,11.2,25,27.8,64.5,4.6,4.3,8.2,0.5,4.3,6.0,26,5.8,25,1016.7,25
20250609,160,9-06-2025,27.8,25,13.0,25,0.0,25,6.1,25,19.6,42,9.6,25,25.7,64.1,4.5,4.1,7.9,0.3,4.1,5.9,26,6.1,25,1016.4,25
20250610,161,10-06-2025,28.2,25,12.0,25,0.0,25,4.6,25,19.6,42,10.1,25,26.4,72.1,4.4,4.1,7.6,0.6,4.1,5.9,26,4.6,25,1015.4,25
20250611,162,11-06-2025,28.3,25,12.7,25,0.0,25,5.6,25,19.5,42,12.1,25,31.5,82.4,4.3,4.2,7.0,1.3,4.2,5.8,26,5.6,25,1015.6,25
20250612,163,12-06-2025,28.7,25,12.8,25,0.0,25,6.1,25,19.5,42,8.1,25,20.6,54.8,4.7,4.1,8.0,0.1,4.0,6.1,26,6.1,25,1017.8,25
20250613,164,13-06-2025,28.6,25,11.6,25,0.0,25,5.7,25,19.5,42,8.7,25,22.2,63.7,4.6,4.0,7.8,0.2,4.0,6.1,26,5.7,25,1018.8,25
20250614,165,14-06-2025,28.7,25,10.7,25,0.0,25,5.3,25,19.5,42,8.0,25,20.3,62.2,4.7,4.0,7.7,0.2,3.9,6.1,26,5.3,25,1017.9,25
20250615,166,15-06-2025,28.3,25,9.2,25,0.0,25,4.9,25,18.4,42,9.2,25,23.9,79.1,4.3,3.7,7.0,0.3,3.7,5.9,26,4.9,25,1016.7,25
20250616,167,16-06-2025,29.9,25,12.0,25,0.0,25,3.7,25,19.4,42,10.8,25,25.6,77.1,4.6,4.2,7.7,0.6,4.1,6.1,26,3.7,25,1016.7,25
20250617,168,17-06-2025,29.9,25,12.1,25,0.0,25,6.0,25,19.5,42,9.7,25,23.0,68.8,4.7,4.2,8.0,0.2,4.1,6.2,26,6.0,25,1017.7,25
20250618,169,18-06-2025,30.1,25,11.9,25,0.0,25,4.8,25,19.5,42,9.9,25,23.2,71.1,4.7,4.2,8.0,0.3,4.1,6.2,26,4.8,25,1017.1,25
20250619,170,19-06-2025,30.3,25,16.0,25,0.0,25,4.6,25,19.0,42,19.6,25,45.4,100.0,3.9,4.6,5.9,3.2,4.6,5.6,26,4.6,25,1016.4,25
20250620,171,20-06-2025,31.0,25,12.9,25,0.0,25,5.7,25,19.4,42,13.9,25,30.9,93.5,4.5,4.4,7.1,1.6,4.3,6.0,26,5.7,25,1016.5,25
